MicrobialBiomass,OTU,mismatch
0.171966709,0.263677079,0
-0.015405351,0.003746325,1
-0.241819159,-0.049128631,0
-0.213539087,-0.140942414,0
-0.518575496,0.075507553,1
-0.293851123,-0.042722817,0
-0.558357548,-0.158578592,0
-0.140699882,-0.112879348,0
-0.295431945,0.223522986,1
-0.154560768,-0.126737214,0
-0.561423859,-0.094577228,0
-0.2463896,0.013393057,1
0.214274755,-0.107154238,1
0.03807633,-0.001614205,1
0.132759078,-0.101782694,1
0.214274755,0.026734062,0
0.03807633,0.052376492,0
0.132759078,-0.008371753,1
0.328925031,0.022472856,0
0.221984668,-0.140581951,1
0.052808251,-0.029522439,1
0.356189978,0.057330932,0
-0.0965668,0.039220713,1
-0.765464255,0,1
0.206109992,-0.083381609,1
0.178566558,-0.133722994,1
-0.105909815,0.220122152,1
0.111427392,-0.008238033,1
0.39629103,-0.056168959,1
-0.012524072,0.00306592,1
-0.088642384,-0.059380637,0
-0.320576624,0.067308209,1
0.153204158,-0.10463986,1
0.153204158,-0.168683634,1
0.19436226,-0.22927854,1
0.19436226,0.047739528,0
0.025461064,0.019736841,0
-0.156881057,-0.010538832,0
0.052317505,0.048489474,0
0.184734103,-0.009453848,1
-0.076339326,0.025906703,1
-0.135405564,-0.011150648,0
-0.192010651,-0.063387552,0
0.284553569,0.028193571,0
0.223144118,-0.023037668,1
0.089612887,-0.009883045,1
-0.23125218,-0.006603554,0
-0.416054688,-0.054563161,0
-0.701609854,-0.129217335,0
0.326929795,0.036670377,0
0.095054785,0.048949226,0
-0.069795762,0.034335128,1
-0.533394245,2.88871e-4,1
0.302302613,0.081408743,0
-0.114215949,0.321296513,1
0.103280502,0.247584276,0
0.032523192,-0.133531393,1
-0.002068253,-0.087011377,0
0.056239718,-0.042559614,1
0.032523192,0.054067221,0
-0.002068253,0.054067221,1
0.056239718,-0.182321557,1
0.101110582,0.018577013,0
0.140983588,-0.044737453,1
-0.088567174,0.006230761,1
-0.072512143,0.072319517,1
-0.209051477,0.030772691,1
-0.345012752,0.030772691,1
-0.382950509,0.030772691,1
0.21763435,0.012598657,0
0.264989272,0.067522177,0
0.368984564,0.062314072,0
0.239888121,0.109029704,0
0.044138051,-0.047719003,1
0.028434324,-0.053333483,1
0.090441081,-0.033059781,1
0.041962642,-0.098936647,1
0.093363094,0.028535018,0
-0.123779582,0.018288622,1
0.077860315,0.24773678700000001,0
-0.055136184,0.010018116,1
0.195227125,0.250559654,0
-0.004565063,0.004019298,1
0.013571467,0.092053721,0
0.056567839,0.107573128,0
0.100124474,-0.082826215,1
-0.04708662,0.343134598,1
0.182684959,0.21498796,0
0.021767699,0.298075198,0
0.016977692,-0.17806832,1
0.081527969,-0.131893391,1
-0.522274111,-0.106271677,0
-0.104058371,0.053841793,1
0.07583849,0.027109564,0
0.027223666,-0.117781697,1
-0.282207378,-0.085436891,0
-0.599125502,-0.001899249,0
0.084839188,-0.064658775,1
-0.198250017,-0.023263329,0
-0.282207378,0.356050818,1
-0.599125502,0.198324246,1
0.084839188,-0.275016814,1
-0.198250017,0.081991311,1
0.512175711,-1.098612289,1
0.33120006,0.059444835,0
0.446588233,-0.020747632,1
0.229574442,-0.056679689,1
0.161758915,-0.983923634,1
0.352224614,-0.557128224,1
0.227644684,-0.038211849,1
0.280134867,-0.007478023,1
0.227644684,0.103358513,0
0.280134867,0.197027704,0
-0.306586227,0.140757132,1
0.228373298,0.175939914,0
-0.224377095,-0.26977285,0
0.049267779,-0.448801545,1
0.018531528,-0.492720082,1
-0.351648545,-0.033085725,0
0.023632641,-0.105757938,1
0.176693254,-0.199757224,1
0.239312757,-0.262131481,1
-0.245615716,0.661284486,1
-0.234316857,0.538660485,1
0.229347026,0.568722203,0
0.093288308,0.295315175,0
0.051960109,0.532752517,0
0.097328469,0.32488786,0
1.236762627,-0.086750926,1
-0.128378474,0.095057154,1
-0.086582652,0.013818737,1
-0.286372658,-0.075607598,0
-0.032927668,0.04586008,1
0.188314742,0.023901711,0
-0.037687316,-0.086351877,0
0.032566005,-0.049139387,1
-0.081960634,-0.049628504,0
-0.012566237,-0.024983623,0
-0.217199997,-0.049204916,0
0.028357149,-0.033284635,1
0.176717208,-0.071458964,1
-0.172300874,0.029071815,1
0.20714321,0.072464125,0
0.20714321,-0.143765627,1
0.997007844,-0.20026747,1
0.500803754,0.018876965,0
1.276024584,-0.258469861,1
0.108409299,-0.015941083,1
0.193259823,0.027264581,0
0.108409299,-0.005509656,1
0.193259823,-0.032231976,1
0.239020131,-0.331702324,1
0.128691273,0.026150663,0
0.239020131,-0.106294513,1
0.128691273,0.064262197,0
-0.259028704,0.157437018,1
-1.082373324,-0.527865616,0
-0.268161188,0.313836089,1
-1.186157049,-0.110832244,0
-1.424282154,0.003295041,1
0.386255178,-0.052350005,1
-0.474988127,0.305324001,1
-0.694416377,0.134078888,1
0.019856248,-0.069619634,1
-0.803890332,-0.066489741,0
-0.156584511,-0.005865119,0
-0.107502991,0.041606001,1
-0.931249572,0.044735894,1
-0.28394375,0.105360516,1
0.174310833,0.018987912,0
-0.649435747,0.022117805,1
-0.002129926,0.082742427,1
-1.078756041,-0.050985555,0
-1.20611528,0.06024008,1
-0.924301456,0.037621992,1
-0.030771659,-0.027028672,0
0.330683508,0.339641811,0
0.158470341,0.333292584,0
0.220311261,0.39803013,0
0.1198012,0.207917104,0
0.339354083,0.430338373,0
-0.985004624,0.017647517,1
-0.626657439,0.034988992,1
-0.083041993,0.02924185,1
0.344254377,-0.01194044,1
-0.194267628,-0.054891828,0
-0.460053298,-0.214280864,0
-0.790736997,0.072539344,1
-0.432389811,0.089880819,1
-0.265785671,-0.159389036,0
0.247780856,0.202417421,0
0.155122025,0.197168065,0
-0.398685421,0.175890666,1
-0.76116870700000006,0.149745386,1
-0.2869265,0.125163143,1
0.534707356,0.077254278,0
0.442048525,0.072004922,0
-0.111758921,0.050727524,1
-0.474242207,0.024582243,1
0.299930695,-0.016546396,1
0.255478932,-0.008238976,1
-0.486094843,0.005115101,1
-0.405465108,-0.004111003,0
-0.004705891,-0.001026167,0
0.304636586,-0.015520229,1
0.260184823,-0.007212808,1
-0.481388951,0.006141268,1
-0.400759217,-0.003084835,0
-0.076752946,0.356674944,1
-0.675100803,0.063561481,1
-0.737931313,0.207418043,1
-0.7169434,0.243163911,1
-0.554225766,0.294668948,1
-1.024591347,0.152296676,1
-0.643598613,0.528954036,1
-0.826705351,0.334393556,1
-0.479155029,0.290314697,1
-0.643598613,0.052651011,1
-0.826705351,-0.480617041,0
-0.479155029,-1.099683863,0
-0.830840044,0.078628504,1
-0.947476948,0.06523941,1
1.192534084,0.0348787,0
-0.830840044,0.063771058,1
-0.947476948,-0.070968035,0
1.192534084,-0.524595102,1
-0.40333326,-0.566987321,0
-0.275723881,-0.078756378,0
-0.819904439,-0.222372165,0
-0.012002046,-0.008920432,0
-0.241995957,-0.057865437,0
-0.305380578,-0.163433544,0
-0.773955522,-0.305824853,0
-0.910447728,-0.421525211,0
-0.012002046,0.017462704,1
-0.241995957,-0.063025014,0
-0.305380578,-0.109503282,0
-0.773955522,-0.157283669,0
-0.910447728,-0.170667634,0
-1.19857364,-0.045294929,0
-2.2594456,-0.295936872,0
-1.576467893,-0.246172614,0
-1.968509981,-0.132101954,0
-0.238549384,0.064191446,1
-0.305424473,0.230848468,1
-0.019855053,-0.028011832,0
0.062242309,0.148610593,0
-0.194731792,0.028495212,1
-0.272562494,0.017032188,1
-0.194731792,0.074050914,1
-0.272562494,0.145606503,1
-0.131213894,0.044495121,1
0.350624192,0.054224671,0
0.450824358,0.070678477,0
-0.12786373,0.248403218,1
-0.625548277,0.135709252,1
-0.530513765,0.086284369,1
0.291376074,-0.1060651,1
-0.379499813,-0.057158414,0
-0.487161546,-0.057158414,0
-0.058399597,-0.057158414,0
-0.577739409,-0.057158414,0
-0.570031677,-0.251314428,0
-0.801203805,-0.043781359,0
-1.431451027,-0.055872141,0
0.162518929,-0.088292607,1
0.177513855,-0.199128675,1
0.10697212,-0.163453072,1
0.021819047,0.013986242,0
0.313091788,-0.119545151,1
-0.069114511,-0.087738914,0
0.023754219,-0.301105093,1
-0.17975355,-0.562118918,0
0.090971778,-0.145267545,1
0.048059662,-0.003614744,1
0.086540456,-0.073695463,1
0.090971778,-0.136850969,1
0.048059662,-0.112973325,1
0.086540456,-0.221673351,1
-0.055117316,0.024525843,1
0.05456425,0.094361056,0
-0.188274533,0.023823349,1
-0.07085403,-0.111818491,0
-0.21511138,0.16724245,1
0.211089627,0.039553658,0
-0.21511138,0.08486959,1
0.211089627,0.049340169,0
0.340698051,-0.047816024,1
0.636985289,-0.154339576,1
-0.068183386,-0.027850621,0
-0.003985026,0.312730085,1
