Code,Study ,Year,Author,Journal,Location,Organism,Response,Experiment,S1,S2,stressor_pair,Response,Variable,S1_mean,S1_sd,S1_n,S2_mean,S2_sd,S2_n,S1_S2_mean,S1_S2_sd,S1_S2_n,C_mean,C_sd,C_n,Predicted_additive_effect _multiplicative_risk ,Predicted additive effect based on Thompson paper - only relevent for population level responses ,Additive,Dominance
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Decompostion,leaf mass loss,47.8,1.1,3,48.35,2.66,3,51.96,3.41,3,41.9,0.001,3,55.15823389,54.25,54.25,6.45
D,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Diversity Animal,tile taxon richness,8.33,1.32,3,8.33,0.36,3,7.37,0.6,3,7.73,2.41,3,8.976571798,8.93,8.93,0.6
D,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Diversity Animal,leaf pack taxon richness,9.65,1.56,3,11.64,0.66,3,7.37,0.78,3,10.98,2.22,3,10.23005464,10.31,10.31,0.66
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Plant biomass/abundance,Algal biomass,0.5,0.01,3,0.623,0.187,3,0.119,0.001,3,0.585,0.115,3,0.532478632,0.538,0.538,0.038
F,35,2004,Baxter,Ecology,Japan,Invertebrate,Community,In situ,Habitat Alteration,Invasion,Habitat Alteration x Invasion,Animal biomass/abundance,emerging insect biomass,0.75,0.1,4,2.31,0.4,4,1.33,1,4,3.5,0.8,4,0.495,0,-0.44,-1.19
F,35,2004,Baxter,Ecology,Japan,Invertebrate,Community,Mescosm,Habitat Alteration,Invasion,Habitat Alteration x Invasion,Animal biomass/abundance,herbivore biomass,267.28,128.34,4,315.6,76.8,4,248.6,161.4,4,495.5,216.4,4,170.2392896,87.38,87.38,-179.9
F,35,2004,Baxter,Ecology,Japan,Producer,Community,In situ,Habitat Alteration,Invasion,Habitat Alteration x Invasion,Plant biomass/abundance,chl a biomass,7.88,1.8,4,8.87,1.08,4,7.9,1.3,4,5.29,0.92,4,13.21277883,11.46,11.46,3.58
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Animal biomass/abundance,total inverts tiles,147.19,58.43,3,79.78,13.48,3,169.66,8.99,3,46.07,15.73,3,254.8907792,180.9,180.9,101.12
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,total inverts tiles,216.85,6.75,3,147.19,58.43,3,315.73,121.34,3,46.07,15.73,3,692.8185696,317.97,317.97,170.78
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,total inverts leaf litter,261.8,51.68,3,198.88,42.69,3,277.53,30.57,3,331.46,150.56,3,157.0831594,129.22,129.22,-69.66
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Animal biomass/abundance,total inverts leaf litter,198.88,42.69,3,205.62,8.99,3,230.34,19.91,3,331.46,150.56,3,123.3744814,73.04,73.04,-125.84
F,13,2010,Molinos,Ecological Applications,Ireland,Invertebrate,Community,In situ,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,Invert abundance,44.5,3.4,4,78,5.5,4,45.4,2.4,4,76.9,3.8,4,45.13654096,45.6,45.6,1.1
F,16,2012,Piggott,PLoS One,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,Total Invertebrates,186,85.64,6,200.83,189.3,6,310.58,221.38,6,69.83,36.14,6,534.9331233,317,317,131
F,21,2012,Wagenhoff,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,Total density,2074,924.8956698,2,2396,282.8427125,2,748,265.8721497,2,2852,407.293506,2,1742.392707,1618,1618,-456
F,60,2010,Gonzalez,Fresh. Biol. ,USA,Invertebrate,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Animal biomass/abundance,Mean zooplankton biomass (total),70.6251,13.1458,4,16.9165,3.0045,4,54.8511,28.9205,4,54.6627,6.1968,4,21.85639392,32.8789,32.8789,15.9624
F,60,2010,Gonzalez,Fresh. Biol. ,USA,Vertebrate,Population,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Animal biomass/abundance,Mean biomass,50.4527,2.4579,4,24.9677,4.1397,4,63.26,14.489,4,6.9858,1.1643,4,180.3212056,68.4346,68.4346,43.4669
F,75,2009,Pilati,Ecol. Appl.,USA,Vertebrate,Population,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Animal biomass/abundance,Mean biomass (shad juvenile),1.2703,0.3207,3,1.261,0.1386,3,1.4302,0.2018,3,0.8705,0.1215,3,1.840147387,1.6608,1.6608,0.3998
F,75,2009,Pilati,Ecol. Appl.,USA,Vertebrate,Population,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Animal biomass/abundance,Mean biomass (bluegill),2.8208,0.0923,3,2.2882,0.0164,3,3.0821,0.2183,3,2.322,0.1558,3,2.779739259,2.787,2.787,0.4988
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Decompostion,leaf mass loss,47.8,1.1,3,46.15,0.75,3,62.27,4.16,3,41.9,0.001,3,52.64844869,52.05,52.05,5.9
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Producer,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Decompostion,leaf mass loss,46.15,0.75,3,48.35,2.66,3,48.41,0.76,3,41.9,0.001,3,53.25423628,52.6,52.6,6.45
F,16,2012,Piggott,PLoS One,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Decompostion,leaf mass loss,72.1,11.1,3,41.7,16.45,3,76,6.74,3,2.6,7.3,3,1156.373077,111.2,111.2,69.5
D,5,2008,Townsend,J. App. Eco. ,New Zealand,Invertebrate,Community,In situ,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Diversity Animal,taxon number benthic inverts,1.4,11.26,5,2.2,2.59,5,-3,5.79,5,9,9.14,5,0.342222222,0,-5.4,-6.8
D,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Diversity Animal,tile taxon richness,8.33,1.32,3,7.79,1.2,3,9.29,0.36,3,7.73,2.41,3,8.39465718,8.39,8.39,0.6
D,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Diversity Animal,tile taxon richness,7.79,1.2,3,8.33,0.36,3,9.11,1.03,3,7.73,2.41,3,8.39465718,8.39,8.39,0.6
D,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Diversity Animal,leaf pack taxon richness,9.65,1.56,3,8.75,1.59,3,8.33,0.84,3,10.98,2.22,3,7.690118397,7.42,7.42,-1.33
D,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Diversity Animal,leaf pack taxon richness,8.75,1.59,3,11.64,0.66,3,8.75,1.81,3,10.98,2.22,3,9.275956284,9.41,9.41,0.66
D,13,2010,Molinos,Ecological Applications,Ireland,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Diversity Animal,Invert diversity richness,19.5,1.3,4,28.5,1.9,4,19.5,2.1,4,28,0.8,4,19.84821429,20,20,0.5
D,16,2012,Piggott,PLoS One,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Diversity Animal,Invertebrate tazon richness,10.8,2.39,6,7.67,3.45,6,10.33,2.42,6,8.17,2.56,6,10.13904529,10.3,10.3,2.63
D,21,2012,Wagenhoff,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Diversity Animal,Total taxon richness,16,0,2,18,0,2,14,1.414213562,2,16.5,0.707106781,2,17.45454545,17.5,17.5,1.5
D,8,2013,Wagenhoff,Freshwater Biology,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Diversity Plant,Algal taxon richness (rarefied),26.1222271,0.432962643,2,16.73884433,4.194457231,2,25.60337196,5.650700592,2,24.49180692,0.3474557,2,17.8531496,18.36926451,18.36926451,1.630420178
D,13,2010,Molinos,Ecological Applications,Ireland,Producer,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Diversity Plant,Species Richness,18.876,0.884,4,25.15,0.95,4,18.93,20.76,4,23.69,0.35,4,20.03931617,20.336,20.336,1.46
D,16,2012,Piggott,PLoS One,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Diversity Plant,Algal taxon richness,22.33,5.77,3,18.33,10.21,3,21,2.65,3,16.33,9.45,3,25.06484385,24.33,24.33,6
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Producer,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Plant biomass/abundance,Algal biomass,0.836,0.234,3,0.623,0.187,3,3.93,1.16,3,0.585,0.115,3,0.890304274,0.874,0.874,0.251
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Plant biomass/abundance,Algal biomass,0.5,0.01,3,0.836,0.234,3,0.58,0.42,3,0.585,0.115,3,0.714529915,0.751,0.751,0.251
F,8,2013,Wagenhoff,Freshwater Biology,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Plant biomass/abundance,Algal cover (%),70.625,18.56155301,2,83.75,8.838834765,2,23.75,1.767766953,2,93.125,0.883883476,2,63.51510067,61.25,61.25,-9.375
F,13,2010,Molinos,Ecological Applications,Ireland,Producer,Community,In situ,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Plant biomass/abundance,Periphyton Chl a,2.037,0.383,4,4.28,0.41,4,1.64,0.27,4,3.89,0.2,4,2.24122365,2.427,2.427,0.39
F,16,2012,Piggott,PLoS One,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Plant biomass/abundance,Algal biomass,6.2,4.76,3,18.75,18.77,3,26.62,8.08,3,2.54,1.34,3,45.76771654,22.41,22.41,16.21
F,60,2010,Gonzalez,Fresh. Biol. ,USA,Producer,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Plant biomass/abundance,Mean chlorophyll concentration (periphyton),3.9415,0.6756,4,4.6492,0.917,4,14.9694,5.888,4,1.8016,0.4586,4,10.1714153,6.7891,6.7891,2.8476
F,60,2010,Gonzalez,Fresh. Biol. ,USA,Producer,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Plant biomass/abundance,Mean chlorophyll concentration (phytoplankton),108.3007,5.676,4,9.672,2.5486,4,39.0346,8.6873,4,18.0116,2.1817,4,58.15609776,99.9611,99.9611,90.2891
F,75,2009,Pilati,Ecol. Appl.,USA,Producer,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Plant biomass/abundance,whole experiment mean chlorophyll concentrations,31.6,17.8,3,21.3,11.6,3,40.9,15.6,3,9.7,3,3,69.38969072,43.2,43.2,21.9
F,100,2010,Villeneuve,Aquatic Science,France,Producer,Community,Mesocosm,Habitat Alteration,Light,Habitat Alteration x UV,Plant biomass/abundance,Biofilm biomass,1.15,0.09,3,3.5,0.76,3,2.29,0.6,3,2.37,0.35,3,1.698312236,2.28,2.28,1.13
F,36,2012,Preston,Ecology,USA,Vertebrate,Population,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,P. regilla_combined dry mass (g),0.30838,0.040160453,5,0.02428,0.03096695,5,0.02026,0.025163823,5,0.51862,0.103149634,5,0.014437288,0,-0.18596,-0.21024
F,36,2012,Preston,Ecology,USA,Vertebrate,Population,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,T. torosa_combined dry mass (g),0.65254,0.064381076,5,0.0384,0.08586501,5,0.01438,0.032154658,5,0.63068,0.068480997,5,0.039730982,0.06026,0.06026,0.02186
F,36,2012,Preston,Ecology,USA,Vertebrate,Population,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,A. boreas_combined dry mass (g),0.35018,0.054187702,5,0.6602,0.050473211,5,0.44802,0.116835598,5,0.57512,0.113563185,5,0.401983649,0.43526,0.43526,0.08508
F,36,2012,Preston,Ecology,USA,Invertebrate,Population,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,daphnia,258.9,105.3156,5,2.03,0.2236,5,0.62,0.2236,5,296.32,159.6504,5,1.773646733,0,-35.39,-37.42
F,36,2012,Preston,Ecology,USA,Invertebrate,Population,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Snail_combined dry mass (g),5.07566,0.708610272,5,7.15278,2.728985921,5,5.3382,1.538378425,5,6.1055,1.264897634,5,5.94629094,6.12294,6.12294,1.04728
F,55,1999,Kuhns,J. Great Lakes Research,USA,Invertebrate,Community,In situ,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Benthic invertebrate biomass,0.07,0.02236068,5,0.6,0.223606798,5,0.25,0.067082039,5,0.07,0.02236068,5,0.6,0.6,0.6,0.53
F,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Predators Scavengers,0.4,0.894427191,5,0.6,0.894427191,5,0.6,0.894427191,5,3.4,1.516575089,5,0.070588235,0,-2.4,-2.8
F,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Grazers and Scrapers,1.8,2.48997992,5,2.2,4.38178046,5,2,1.58113883,5,13.4,14.5361618,5,0.295522388,0,-9.4,-11.2
F,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Predators Scavengers,6.2,8.318653737,5,5.4,6.804410334,5,2.8,4.7644517,5,20.2,45.16857315,5,1.657425743,0,-8.6,-14
F,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Grazers and Scrapers,14.2,18.08867049,5,10,9.273618495,5,11.8,9.782637681,5,117.6,262.9615942,5,1.207482993,0,-93.4,-103.4
F,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Gatherers and shredders,25,23.09761892,5,15.2,13.49814802,5,16.6,13.16434579,5,29,64.84597135,5,13.10344828,11.2,11.2,-4
F,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Diptera ,208.6,116.2789749,5,172.4,53.43500725,5,184,106.960273,5,141.6,316.6272256,5,253.9734463,239.4,239.4,67
F,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Gatherers and shredders,235.6,54.12762696,5,197.4,36.83476619,5,237.2,66.86329337,5,219.4,52.29531528,5,211.9755697,213.6,213.6,16.2
F,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal biomass/abundance,Diptera ,150.8,71.42618567,5,393.4,229.6580066,5,236.4,82.01402319,5,938.2,334.6090256,5,63.23248774,0,-394,-544.8
F,22,2007,Boone,Ecological Applications,USA,Vertebrate,Population,Mesocosm,Invasion,Invasion,Invasion x Invasion,Animal Survival,Ambystoma maculatum survival,0,0,40,0.91,0.06,40,0,0,40,0.87,0.07,40,0,0.04,0.04,0.04
F,56,2014,Jackson,Freshwater Biology,UK,Producer,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Decompostion,Decompostion rate,80.86,8.407615595,5,26.71,19.74448024,5,52.14,5.053513629,5,56.75,19.02893849,5,38.05763172,50.82,50.82,24.11
F,56,2014,Jackson,Freshwater Biology,UK,Producer,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Decompostion,Decompostion rate,70.05,18.67116761,5,29.17,7.401385006,5,48.39,13.86138539,5,48.58,108.6281823,5,42.06172293,50.64,50.64,21.47
D,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Diversity Animal,taxon richness,8.4,1.140175425,5,6.2,2.387467277,5,6.2,1.303840481,5,7.6,16.99411663,5,6.852631579,7,7,0.8
D,56,2014,Jackson,Freshwater Biology,UK,Invertebrate,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Diversity Animal,taxon richness,9.2,1.303840481,5,8.2,2.48997992,5,9.2,2.28035085,5,14.8,3.346640106,5,5.097297297,2.6,2.6,-5.6
F,36,2012,Preston,Ecology,USA,Producer,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Plant biomass/abundance,phytoplankton,12.67,3.33164,5,29.78,10.01728,5,27.26,10.062,5,10.6,3.10804,5,35.5955283,31.85,31.85,19.18
F,56,2014,Jackson,Freshwater Biology,UK,Producer,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Plant biomass/abundance,Periphyton chl a,0.5569088,0.100117384,5,0.5547384,0.198146249,5,0.5219848,0.285216912,5,0.4178476,0.436196726,5,0.739357356,0.6937996,0.6937996,0.1390612
F,56,2014,Jackson,Freshwater Biology,UK,Producer,Community,Mesocosm,Invasion,Invasion,Invasion x Invasion,Plant biomass/abundance,Periphyton chl a,4.726136,2.123353645,5,2.2234528,1.057692419,5,2.0540032,2.235009503,5,0.9808304,2.193203449,5,10.71371801,5.9687584,5.9687584,3.7453056
F,59,2013,Dzialowski,Fresh. Sci.,USA,Invertebrate,Community,Mesocosm,Invasion,Nutrification,Invasion x Nutrification,Animal biomass/abundance,zooplankton density (total),28.34653633,1.405090287,6,98.46910714,1.328783672,6,46.65519404,2.051469163,6,24.26051412,1.254496597,6,115.0535438,102.5551294,102.5551294,74.20859302
F,22,2007,Boone,Ecological Applications,USA,Vertebrate,Population,Mesocosm,Invasion,Nutrification,Invasion x Nutrification,Animal Survival,Ambystoma maculatum survival,0,0,40,0.95,0.05,40,0,0,40,0.87,0.07,40,0,0.08,0.08,0.08
F,22,2007,Boone,Ecological Applications,USA,Vertebrate,Population,Mesocosm,Invasion,Nutrification,Invasion x Nutrification,Animal Survival,Ambystoma maculatum survival,0.91,0.06,40,0.95,0.05,40,0.57,0.08,40,0.87,0.07,40,0.993678161,0.99,0.99,0.08
F,46,2012,Smith,Journal of Herpetology,USA,Vertebrate,Population,Mesocosm,Invasion,Nutrification,Invasion x Nutrification,Animal Survival,survival ot tadpoles,0.915,0.02,6,0.91,0.02,6,0.824,0.031,6,0.915,0.02,6,0.91,0.91,0.91,0
F,85,2013,Smith,Copeia,USA,Vertebrate,Population,Mesocosm,Invasion,Nutrification,Invasion x Nutrification,Animal Survival,Frog survival,0.82,0.14697,6,0.93,0.024495,6,0.69,0.24495,6,0.93,0.024495,6,0.82,0.82,0.82,0
F,46,2012,Smith,Journal of Herpetology,USA,Producer,Community,Mesocosm,Invasion,Nutrification,Invasion x Nutrification,Plant biomass/abundance, periphyton biomass,0.21,0.035,6,0.23,0.02,6,0.225,0.02,6,0.2,0.06,6,0.2415,0.24,0.24,0.03
F,59,2013,Dzialowski,Fresh. Sci.,USA,Producer,Community,Mesocosm,Invasion,Nutrification,Invasion x Nutrification,Plant biomass/abundance, phytoplankton chlorophyll concentration (total),0.358674086,2.834136449,6,0.548782179,3.037732162,6,0.931536765,3.740551606,6,0.245810257,2.644186184,6,0.800755629,0.661646009,0.661646009,0.302971923
F,59,2013,Dzialowski,Fresh. Sci.,USA,Producer,Community,Mesocosm,Invasion,Nutrification,Invasion x Nutrification,Plant biomass/abundance,periphyton chlorophyll concentration (total),45.62469771,1.166463275,6,4.832813101,1.995549447,6,7.097411731,2.838936002,6,7.445605128,2.797608437,6,29.61419965,43.01190568,43.01190568,38.17909258
F,85,2013,Smith,Copeia,USA,Producer,Community,Mesocosm,Invasion,Nutrification,Invasion x Nutrification,Plant biomass/abundance,Periphyton mass,0.78,0.29394,6,0.61,0.34293,6,1.07,0.416415,6,0.63,0.318435,6,0.755238095,0.76,0.76,0.15
F,96,2008,Zhu,Aquatic Botany,USA,Producer,Community,In situ,Invasion,Nutrification,Invasion x Nutrification,Plant biomass/abundance,Number macrophyte individuals of 3 species,67.9,22,6,13.7,6.5,6,146.6,43,6,15.7,5.3,6,59.25031847,65.9,65.9,52.2
D,33,2009,Liess,J. Ecology,New Zealand ,Producer,Community,Mesocosm,Light,Nutrification,Nutrification x UV,Diversity Plant,diatom richness,18.85,1.96,4,20.55,1.96,4,21.35,5.635,4,15.24,1.5925,4,25.41781496,24.16,24.16,5.31
F,33,2009,Liess,J. Ecology,New Zealand ,Producer,Community,Mesocosm,Light,Nutrification,Nutrification x UV,Plant biomass/abundance,chl a periphyton,21.5,6.615,4,12.85,6.615,4,95.45,42.9975,4,11.15,4.41,4,24.77802691,23.2,23.2,10.35
F,47,2012,Domaizon,BMC Microbiology,France,Producer,Community,Mesocosm ,Nutrification,Light,Nutrification x UV,Plant biomass/abundance,non-pigmented eukaryotes abundance,1.51,0.6,3,0.72,0.25,3,1.63,0.95,3,0.656,1.2,3,1.657317073,1.574,1.574,0.854
F,47,2012,Domaizon,BMC Microbiology,France,Producer,Community,Mesocosm ,Nutrification,Light,Nutrification x UV,Plant biomass/abundance,pigmented eukaryotes abundance per ul,4.59,0.75,3,4.68,1.5,3,4.62,1.15,3,4.19,1.5,3,5.126778043,5.08,5.08,0.49
F,54,2012,Korbee,Photochemical & Photobiological Sciences,Spain,Producer,Community,In situ,Nutrification,Light,Nutrification x UV,Plant biomass/abundance,Total algal biomass,154.55,2.5,3,26.9,2.4,3,54.4,2.3,3,28.4,3.6,3,146.3871479,153.05,153.05,126.15
F,2,2005,Doyle,L&O,USA,Producer,Population,In situ,Light,Nutrification,Nutrification x UV,Plant growth/size,phytoplankton growth - Gymnodinium,20,37,4,192,90,4,46,39,4,237,161,4,16.20253165,0,-25,-45
F,2,2005,Doyle,L&O,USA,Producer,Population,In situ,Light,Nutrification,Nutrification x UV,Plant growth/size,phytoplankton growth - Fragilaria,323,300,4,3067,440,4,294,300,4,1054,600,4,939.8870968,2336,2336,2013
F,99,2011,Cao,Fresh. Biol. ,China,Producer,Population,Lab,Nutrification,Light,Nutrification x UV,Plant growth/size,Relative daily GR macrophyte sp 3,0.037,0.0004,3,0.052,0.0005,3,0.055,0.002,3,0.035,0.001,3,0.054971429,0.054,0.054,0.017
F,99,2011,Cao,Fresh. Biol. ,China,Producer,Population,Lab,Nutrification,Light,Nutrification x UV,Plant growth/size,Relative daily GR macrophyte sp 2,0.02,0.001,3,0.055,0.002,3,0.057,0.001,3,0.031,0.001,3,0.035483871,0.044,0.044,0.024
F,99,2011,Cao,Fresh. Biol. ,China,Producer,Population,Lab,Nutrification,Light,Nutrification x UV,Plant growth/size,Relative daily GR macrophyte sp 1,0.046,0.007,3,0.069,0.001,3,0.076,0.002,3,0.054,0.0001,3,0.058777778,0.061,0.061,0.015
,,,,,,,,,,,,,,4,,,3,,,,,,4,,,3,3,3,0